,time,temperature,humidity
658,1658857579.8044436,36.4,59.4
659,1658857580.07455,36.5,59.4
660,1658857580.3491263,36.4,59.4
661,1658857580.623534,36.5,59.4
662,1658857580.8971908,36.4,59.4
663,1658857581.168283,36.5,59.4
664,1658857581.4422014,36.4,59.4
665,1658857581.7162228,36.5,59.4
666,1658857581.9875987,36.5,59.4
667,1658857582.261856,36.4,59.4
668,1658857582.5363762,36.5,59.4
669,1658857582.8063943,36.4,59.4
670,1658857583.081012,36.4,59.4
671,1658857583.355482,36.5,59.4
672,1658857583.629882,36.4,59.4
673,1658857583.9001787,36.5,59.4
674,1658857584.1744993,36.5,59.3
675,1658857584.4490104,36.5,59.3
676,1658857584.7193768,36.5,59.3
677,1658857584.9931571,36.5,59.3
678,1658857585.2677338,36.4,59.3
679,1658857585.5422444,36.4,59.3
680,1658857585.8122237,36.5,59.3
681,1658857586.0868294,36.4,59.3
682,1658857586.3616135,36.4,59.3
683,1658857586.6322224,36.5,59.3
684,1658857586.9058287,36.5,59.3
685,1658857587.1809063,36.4,59.3
686,1658857587.4512627,36.4,59.3
687,1658857587.725665,36.4,59.3
688,1658857588.000063,36.5,59.3
689,1658857588.274223,36.4,59.3
690,1658857588.544829,36.4,59.3
691,1658857588.8193765,36.4,59.3
692,1658857589.0936377,36.4,59.2
693,1658857589.3633783,36.5,59.2
694,1658857589.638482,36.4,59.2
695,1658857589.9128623,36.4,59.2
696,1658857590.182724,36.4,59.2
697,1658857590.4575608,36.5,59.1
698,1658857590.7319853,36.4,59.1
699,1658857591.0058165,36.4,59.1
700,1658857591.2808013,36.4,59.1
701,1658857591.5511584,36.5,59.1
702,1658857591.8255942,36.5,59.1
703,1658857592.0999854,36.4,59.0
704,1658857592.374386,36.5,59.0
705,1658857592.6447203,36.5,59.0
706,1658857592.9190454,36.5,59.0
707,1658857593.1935604,36.5,59.0
708,1658857593.4679585,36.4,59.0
709,1658857593.7383094,36.4,59.0
710,1658857594.012223,36.4,58.9
711,1658857594.2871256,36.5,58.9
712,1658857594.5612755,36.4,58.9
713,1658857594.8318043,36.5,58.9
714,1658857595.1062317,36.5,58.8
715,1658857595.3807201,36.5,58.8
716,1658857595.6546764,36.4,58.8
717,1658857595.925071,36.5,58.8
718,1658857596.1998813,36.5,58.7
719,1658857596.474282,36.4,58.7
720,1658857596.7487152,36.4,58.7
721,1658857597.0183103,36.4,58.7
722,1658857597.293376,36.4,58.7
723,1658857597.5678804,36.4,58.7
724,1658857597.838226,36.4,58.6
725,1658857598.1122227,36.4,58.6
726,1658857598.386382,36.4,58.6
727,1658857598.6614804,36.4,58.6
728,1658857598.9313195,36.4,58.5
729,1658857599.2062213,36.5,58.5
730,1658857599.4806118,36.5,58.5
731,1658857599.7543886,36.5,58.5
732,1658857600.0252223,36.4,58.4
733,1658857600.2993684,36.4,58.4
734,1658857600.5742097,36.4,58.4
735,1658857600.8440561,36.4,58.4
736,1658857601.1188986,36.4,58.3
737,1658857601.3927422,36.4,58.3
738,1658857601.6675847,36.4,58.3
739,1658857601.9374316,36.4,58.3
740,1658857602.2122862,36.4,58.3
